text,congruent,corrAns,letterColor,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
geel,0,lshift,green,0,0,0,3,,,,,lshift,1,3.19965791702,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
geel,0,space,blue,0,1,1,4,,,,,space,1,3.08309412003,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
blauw,1,space,blue,0,2,2,2,,,,,space,1,1.1566798687,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
rood,1,tab,red,0,3,3,0,,,,,tab,1,1.74315404892,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
rood,0,lshift,green,0,4,4,1,,,,,lshift,1,1.84299898148,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
blauw,1,space,blue,,,,,0,0,0,10,space,1,2.59725093842,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
rood,0,space,blue,,,,,0,1,1,2,space,1,2.14497613907,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
geel,0,lshift,green,,,,,0,2,2,13,lshift,1,2.96505093575,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
blauw,0,lshift,green,,,,,0,3,3,9,lshift,1,1.42416191101,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
blauw,0,tab ,red,,,,,0,4,4,8,tab,0,3.04809117317,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
geel,0,space,blue,,,,,0,5,5,14,space,1,1.22347211838,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
groen,0,enter,yellow,,,,,0,6,6,7,return,0,1.22419309616,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
blauw,0,enter,yellow,,,,,0,7,7,11,return,0,1.2741317749,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
geel,1,enter,yellow,,,,,0,8,8,15,return,0,1.50842905045,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
groen,0,space,blue,,,,,0,9,9,6,space,1,1.99430298805,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
geel,0,tab,red,,,,,0,10,10,12,tab,1,1.25744509697,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
rood,1,tab,red,,,,,0,11,11,0,tab,1,1.40836715698,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
rood,0,lshift,green,,,,,0,12,12,1,lshift,1,1.72586798668,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
rood,0,enter,yellow,,,,,0,13,13,3,return,0,1.25714421272,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
groen,0,tab,red,,,,,0,14,14,4,tab,1,1.29107499123,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
groen,1,lshift,green,,,,,0,15,15,5,lshift,1,2.83091211319,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
