text,congruent,corrAns,letterColor,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
rood,0,enter,yellow,,,,,1,0,16,3,return,0,2.22885513306,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
blauw,0,enter,yellow,,,,,1,1,17,11,return,0,1.0900759697,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
groen,0,enter,yellow,,,,,1,2,18,7,return,0,4.25499677658,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
geel,0,tab,red,,,,,1,3,19,12,tab,1,1.65934300423,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
geel,0,lshift,green,,,,,1,4,20,13,lshift,1,3.26642894745,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
rood,0,lshift,green,,,,,1,5,21,1,lshift,1,3.36701083183,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
rood,1,tab,red,,,,,1,6,22,0,tab,1,3.63561892509,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
groen,0,tab,red,,,,,1,7,23,4,tab,1,1.52419090271,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
blauw,1,space,blue,,,,,1,8,24,10,space,1,1.3748497963,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
rood,0,space,blue,,,,,1,9,25,2,space,1,1.00658488274,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
blauw,0,tab ,red,,,,,1,10,26,8,tab,0,3.26601886749,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
geel,1,enter,yellow,,,,,1,11,27,15,return,0,2.69753098488,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
blauw,0,lshift,green,,,,,1,12,28,9,lshift,1,1.97674107552,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
groen,0,space,blue,,,,,1,13,29,6,space,1,1.92726111412,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
groen,1,lshift,green,,,,,1,14,30,5,lshift,1,2.4284389019,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
geel,0,space,blue,,,,,1,15,31,14,space,1,2.16047215462,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
groen,0,enter,yellow,,,,,2,0,32,7,return,0,2.93206691742,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
blauw,0,tab ,red,,,,,2,1,33,8,tab,0,1.39152097702,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
groen,0,tab,red,,,,,2,2,34,4,tab,1,1.44150400162,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
blauw,1,space,blue,,,,,2,3,35,10,space,1,0.788581132889,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
rood,0,space,blue,,,,,2,4,36,2,space,1,0.738404989243,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
groen,0,space,blue,,,,,2,5,37,6,space,1,0.721611976624,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
rood,1,tab,red,,,,,2,6,38,0,tab,1,1.12364506721,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
rood,0,lshift,green,,,,,2,7,39,1,lshift,1,1.87671685219,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
geel,0,tab,red,,,,,2,8,40,12,tab,1,1.860435009,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
blauw,0,enter,yellow,,,,,2,9,41,11,return,0,0.972759962082,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
geel,0,space,blue,,,,,2,10,42,14,space,1,1.39115715027,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
geel,0,lshift,green,,,,,2,11,43,13,lshift,1,1.25705504417,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
blauw,0,lshift,green,,,,,2,12,44,9,lshift,1,1.96028017998,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
geel,1,enter,yellow,,,,,2,13,45,15,None,0,,return,1.63528585434,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
rood,0,enter,yellow,,,,,2,14,46,3,return,0,0.823126077652,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
groen,1,lshift,green,,,,,2,15,47,5,lshift,1,1.24026989937,None,,2014_Aug_22_1820,59.7086248082,stroop.psyexp 4 kleuren,01,2,
