text,congruent,corrAns,letterColor,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
geel,0,space,blue,0,0,0,4,,,,,space,1,2.31278085709,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
geel,0,lshift,green,0,1,1,3,,,,,lshift,1,1.50801992416,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
rood,0,lshift,green,0,2,2,1,,,,,lshift,1,1.08860397339,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
blauw,1,space,blue,0,3,3,2,,,,,space,1,2.42980003357,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
rood,1,tab,red,0,4,4,0,,,,,tab,1,1.24016284943,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
geel,0,tab,red,,,,,0,0,0,12,tab,1,2.14490604401,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
rood,0,lshift,green,,,,,0,1,1,1,lshift,1,2.51262402534,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
groen,1,lshift,green,,,,,0,2,2,5,lshift,1,0.888391971588,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
geel,0,space,blue,,,,,0,3,3,14,space,1,1.44140601158,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
blauw,1,space,blue,,,,,0,4,4,10,space,1,1.14008498192,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
blauw,0,lshift,green,,,,,0,5,5,9,lshift,1,2.37882709503,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
groen,0,tab,red,,,,,0,6,6,4,tab,1,0.955971002579,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
rood,1,tab,red,,,,,0,7,7,0,tab,1,1.20651507378,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
groen,0,enter,yellow,,,,,0,8,8,7,return,0,1.54236006737,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
blauw,0,enter,yellow,,,,,0,9,9,11,return,0,1.80979800224,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
groen,0,space,blue,,,,,0,10,10,6,space,1,1.91064405441,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
blauw,0,tab ,red,,,,,0,11,11,8,tab,0,1.49177193642,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
geel,1,enter,yellow,,,,,0,12,12,15,return,0,1.22375202179,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
rood,0,enter,yellow,,,,,0,13,13,3,return,0,1.50861406326,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
rood,0,space,blue,,,,,0,14,14,2,space,1,1.50869202614,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
geel,0,lshift,green,,,,,0,15,15,13,lshift,1,1.89322090149,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
geel,1,enter,yellow,,,,,1,0,16,15,return,0,0.771826028824,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
blauw,0,enter,yellow,,,,,1,1,17,11,return,0,0.755222082138,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
rood,0,space,blue,,,,,1,2,18,2,space,1,1.52397489548,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
rood,0,lshift,green,,,,,1,3,19,1,lshift,1,2.79742288589,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
blauw,0,tab ,red,,,,,1,4,20,8,tab,0,1.7598669529,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
geel,0,space,blue,,,,,1,5,21,14,space,1,1.50879621506,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
blauw,1,space,blue,,,,,1,6,22,10,space,1,0.855632066727,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
blauw,0,lshift,green,,,,,1,7,23,9,lshift,1,1.62531709671,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
geel,0,lshift,green,,,,,1,8,24,13,lshift,1,0.720839977264,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
rood,0,enter,yellow,,,,,1,9,25,3,return,0,1.29076194763,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
rood,1,tab,red,,,,,1,10,26,0,tab,1,1.17365908623,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
groen,1,lshift,green,,,,,1,11,27,5,None,0,,lshift,2.20341587067,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
geel,0,tab,red,,,,,1,12,28,12,tab,1,1.45860600471,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
groen,0,enter,yellow,,,,,1,13,29,7,return,0,0.989614009857,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
groen,0,tab,red,,,,,1,14,30,4,tab,1,1.10686421394,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
groen,0,space,blue,,,,,1,15,31,6,space,1,1.30744886398,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
groen,0,enter,yellow,,,,,2,0,32,7,return,0,0.988246917725,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
geel,0,space,blue,,,,,2,1,33,14,space,1,1.07187795639,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
groen,1,lshift,green,,,,,2,2,34,5,lshift,1,1.0222530365,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
geel,0,lshift,green,,,,,2,3,35,13,lshift,1,0.872014045715,None,,2014_Aug_29_1208,59.7275856226,stroop.psyexp 4 kleuren,02,1,
