text,congruent,corrAns,letterColor,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,key_resp_2.keys,date,frameRate,expName,session,participant,
geel,0,tab,red,,,,,1,8,24,12,tab,1,1.14029788971,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
groen,0,space,blue,,,,,1,9,25,6,space,1,0.972947835922,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
rood,0,space,blue,,,,,1,10,26,2,space,1,0.637995004654,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
groen,0,tab,red,,,,,1,11,27,4,tab,1,1.22232294083,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
blauw,0,tab ,red,,,,,1,12,28,8,tab,0,0.938886880875,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
blauw,0,lshift,green,,,,,1,13,29,9,lshift,1,1.20629405975,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
blauw,0,enter,yellow,,,,,1,14,30,11,return,0,0.788565158844,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
groen,0,enter,yellow,,,,,1,15,31,7,return,0,2.43002700806,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
groen,1,lshift,green,,,,,2,0,32,5,lshift,1,0.83811712265,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
blauw,0,tab ,red,,,,,2,1,33,8,tab,0,1.08869504929,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
groen,0,space,blue,,,,,2,2,34,6,space,1,0.805395126343,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
rood,0,enter,yellow,,,,,2,3,35,3,return,0,1.32459306717,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
rood,0,lshift,green,,,,,2,4,36,1,lshift,1,1.22349214554,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
groen,0,tab,red,,,,,2,5,37,4,tab,1,0.872276067734,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
geel,0,space,blue,,,,,2,6,38,14,space,1,1.02248692513,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
blauw,0,enter,yellow,,,,,2,7,39,11,return,0,1.09003305435,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
rood,0,space,blue,,,,,2,8,40,2,space,1,1.50757193565,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
blauw,0,lshift,green,,,,,2,9,41,9,lshift,1,1.07189297676,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
geel,0,tab,red,,,,,2,10,42,12,tab,1,1.77671790123,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
groen,0,enter,yellow,,,,,2,11,43,7,return,0,1.35808897018,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
geel,1,enter,yellow,,,,,2,12,44,15,return,0,0.738456010818,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
blauw,1,space,blue,,,,,2,13,45,10,space,1,0.720307826996,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
rood,1,tab,red,,,,,2,14,46,0,tab,1,1.0228908062,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
geel,0,lshift,green,,,,,2,15,47,13,lshift,1,1.2570400238,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
