text,congruent,corrAns,letterColor,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,key_resp_2.keys,date,frameRate,expName,session,participant,
rood,1,tab,red,0,0,0,0,,,,,tab,1,3.5346300602,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
blauw,1,space,blue,0,1,1,2,,,,,space,1,2.1615550518,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
geel,0,space,blue,0,2,2,4,,,,,space,1,3.14894795418,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
geel,0,lshift,green,0,3,3,3,,,,,lshift,1,2.1608850956,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
rood,0,lshift,green,0,4,4,1,,,,,lshift,1,2.61252093315,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
geel,0,space,blue,,,,,0,0,0,14,space,1,1.79391002655,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
geel,0,lshift,green,,,,,0,1,1,13,lshift,1,1.13980102539,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
groen,0,enter,yellow,,,,,0,2,2,7,return,0,1.32450389862,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
groen,0,tab,red,,,,,0,3,3,4,tab,1,1.1233291626,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
rood,0,lshift,green,,,,,0,4,4,1,lshift,1,1.60860514641,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
blauw,0,tab ,red,,,,,0,5,5,8,tab,0,1.19060492516,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
rood,1,tab,red,,,,,0,6,6,0,tab,1,0.972909927368,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
geel,0,tab,red,,,,,0,7,7,12,tab,1,0.889043807983,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
groen,1,lshift,green,,,,,0,8,8,5,lshift,1,1.54118800163,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
rood,0,enter,yellow,,,,,0,9,9,3,return,0,1.17397785187,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
rood,0,space,blue,,,,,0,10,10,2,space,1,1.15680503845,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
geel,1,enter,yellow,,,,,0,11,11,15,return,0,0.88902592659,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
groen,0,space,blue,,,,,0,12,12,6,space,1,1.07308387756,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
blauw,1,space,blue,,,,,0,13,13,10,space,1,0.821957111359,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
blauw,0,enter,yellow,,,,,0,14,14,11,return,0,1.05682086945,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
blauw,0,lshift,green,,,,,0,15,15,9,lshift,1,1.03921890259,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
rood,1,tab,red,,,,,1,0,16,0,tab,1,1.17397999763,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
geel,0,space,blue,,,,,1,1,17,14,space,1,1.123306036,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
blauw,1,space,blue,,,,,1,2,18,10,space,1,0.788463115692,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
rood,0,lshift,green,,,,,1,3,19,1,lshift,1,0.922070026398,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
rood,0,enter,yellow,,,,,1,4,20,3,return,0,1.3412501812,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
geel,0,lshift,green,,,,,1,5,21,13,lshift,1,1.84303593636,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
geel,1,enter,yellow,,,,,1,6,22,15,return,0,1.37495994568,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
groen,1,lshift,green,,,,,1,7,23,5,lshift,1,1.54136896133,None,2014_Aug_29_1402,59.7075198406,stroop.psyexp 4 kleuren,02,2,
